DP_Name;Index_Number;ErrorNumber;RT_rotation_correct;RT_decision_correct;RT_correct;RT_rotation_mistake1;RT_decision_mistake1;RT_mistake1;RT_rotation_mistake2;RT_decision_mistake2;RT_mistake2;RT_rotation_mistake3;RT_decision_mistake3;RT_mistake3
DP1;0;0;1,749225;0,0328522;1,782077;0;0;0;0;0;0;0;0;0
DP2;1;1;0,8473993;0,0475288;0,8949281;0,8814761;0,0401409;0,921617;0;0;0;0;0;0
DP3;2;0;1,365624;0,0703211;1,435945;0;0;0;0;0;0;0;0;0
DP4;3;2;1,485;0,1315107;1,616511;0,8339051;0,09043939;0,9243445;1,750915;0,1112258;1,862141;0;0;0
DP5;4;1;0,9563532;0,1638917;1,120245;0,7270428;0,1472807;0,8743235;0;0;0;0;0;0
DP6;5;1;1,340964;0,2144157;1,55538;2,371568;0,1900163;2,561584;0;0;0;0;0;0
